ExtractDate,FHRSID,BusinessName,BusinessType,BusinessTypeID,AddressLine2,AddressLine3,PostCode,RatingDate,Longitude,Latitude
2/14/2014,607015,Master Sun's Hotpot,Restaurant/Cafe/Canteen,1,87 Cambridge Street,Glasgow,G3 6RU,10/23/2013,-4.259871,55.866965
2/14/2014,19143,McColls,Restaurant/Cafe/Canteen,1,1 Dundas Street,Glasgow,G1 2AH,7/9/2012,-4.252667,55.862082
2/14/2014,562655,McCune Smith,Restaurant/Cafe/Canteen,1,3 Duke Street,Glasgow,G4 0UL,12/18/2013,-4.238776,55.86035
2/14/2014,612678,McDonalds,Restaurant/Cafe/Canteen,1,47 Castlemilk Arcade,Glasgow,G45 9UB,11/19/2013,-4.233907,55.805867
2/14/2014,134621,McDonalds,Restaurant/Cafe/Canteen,1,10 Westhorn Drive,Glasgow,G32 8YX,10/7/2013,-4.169764,55.835838
2/14/2014,128346,McDonalds,Restaurant/Cafe/Canteen,1,101 Sauchiehall Street,Glasgow,G2 3DD,8/9/2013,-4.256815,55.864442
2/14/2014,20479,McDonalds,Restaurant/Cafe/Canteen,1,1325 Springburn Road,Glasgow,G21 1UU,1/28/2011,-4.232683,55.89286
2/14/2014,36481,McDonalds,Restaurant/Cafe/Canteen,1,17 Monument Drive,Glasgow,G33 1AD,6/22/2012,-4.186996,55.890984
2/14/2014,49087,McDonalds,Restaurant/Cafe/Canteen,1,30 Crow Road,Glasgow,G11 7RY,5/15/2012,-4.312117,55.872286
2/14/2014,118076,McDonalds,Restaurant/Cafe/Canteen,1,1200 Maryhill Road,Glasgow,G20 9BA,8/27/2012,-4.284475,55.886939
2/14/2014,26834,McDonalds,Restaurant/Cafe/Canteen,1,800 Westerhouse Road,Glasgow,G34 9PE,1/19/2013,-4.119997,55.86888
2/14/2014,93186,McDonalds,Restaurant/Cafe/Canteen,1,3 Darnley Mains Road,Glasgow,G53 7RH,2/9/2010,-4.340714,55.805056
2/14/2014,22230,McDonalds,Restaurant/Cafe/Canteen,1,209 Argyle Street,Glasgow,G1 4QD,1/12/2014,-4.257719,55.857981
2/14/2014,140049,McDonald's,Restaurant/Cafe/Canteen,1,530 Helen Street,Glasgow,G51 3HR,11/21/2011,-4.32041,55.852671
